false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.01,0.0,1.0
0.01,0.018518518518518517,0.9230769230769231
0.08,0.25925925925925924,0.9010989010989011
0.11,0.2962962962962963,0.6363636363636364
0.13,0.2962962962962963,0.5555555555555556
0.22,0.7222222222222222,0.5169491525423728
0.26,0.7407407407407407,0.2222222222222222
0.35,0.8148148148148148,0.1509433962264151
0.36,0.8333333333333334,0.14285714285714285
0.65,0.9259259259259259,0.09929078014184398
0.69,0.9259259259259259,0.07692307692307693
1.0,0.9629629629629629,0.009523809523809525
1.0,1.0,0.0
